author,link,date,complete_text,share_count,comment_count,reaction_count
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid02mnDzwjNCxEobW1qRsi38s2YhXCngpTwCCJGs9g2xae2RE8wRjqJKHKAHPEuTQxzGl&id=100080969501613&__cft__[0]=AZXrf3bbX-jzVPTI0LsMRx9HHii5EfxfSc82HUpKuaepDFejKdoPOxjT4RKqYe2v8gBOSaEIEB7mRJufWJDSLuC5Jyc_Xi8ZG0_ZLvsxtKVbWRJrGf0N34YZmGczfe7bQyQfH2TzCG7tO0XkVizS19-DvopXdpPdUd1IWV9A1Hg2miPXyCwMnwzbVWaBneuF7Fo&__tn__=%2CO%2CP-R,2023-08-21 06:06:18,"Turun ke Kampung Batu Belah utk berkenalan dgn warga kampung & memahami isu isu semasa.
前往Kampung Batu Belah走访当地居民并且聆听了解时事议题。
",12 comments,60 shares,{'Like': 230}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid02xXbXzZPn64Dc8ZrXrWSiEq9vkbVy9Y3d71u6jo6aBBgjYr5smP133GPCVWmJDc7Kl&id=100080969501613&__cft__[0]=AZXE_oamATfc14PI2jrHCZWXKuoKO8q89WHLWJ0oSzQNR-MM1qG4mtvQDeHowuoHmytSF_GuWqqf6IG4t_r3AGT5fqV-xOUxKOxpwqGduTvhxUOP9hGbR5lk6aD6i3PQRMrPqT8R6c1dx4bSgLAYPDRmhbFLzj0NvEhsByLPv3f6f98PgP-uzf3rAj6rh0n8-h4&__tn__=%2CO%2CP-R,2023-08-21 06:06:43,"巴生新城竞选团队慰劳宴
感谢各位对巴生新城的贡献
感恩有你们
未来的5年我们一起加油
同心迈进 共建新城！！！
Majlis Makan Malam
'Seluhur Kasih Sekalung Budi'
Setinggi-tinggi ucapan terima kasih atas sumbangan kalian kepada Dun Bandar Baru Klang 
Kami amat menghargai kehadiran anda 
Dalam tempoh 5 tahun akan datang, marilah kita bersama-sama memakmurkan Bandar Baru Klang
",13 comments,43 shares,{'Like': 321}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid0a3r5YLGSeNKS3Vveza257hHLDyyQaHix36EgvT8cRP5PP8Trv17TAwy4BzHM42Mol&id=100080969501613&__cft__[0]=AZXBXaysZgkWffAHu5ZnDt-WyLPix3dpbArS9kns6eDOAhgB4wohojYNqyA8lI3lV1sy5zbFzExmTF0PdBpZcQHruzw-FVMkKaFBAogQKYrLFa3K12jnWxELkwQgyqEEPx3zyJI5ed_sjWKy07JaFVuRyOeXhiZB6LEe2BMqfNJjfLFrDWZgonMjxM7r19kjaGQ&__tn__=%2CO%2CP-R,2023-08-19 10:50:00,"Going forward together to build a new city! Led the Klang New Town team to thank voters in the straight-down glass morning market and middle road morning market this morning! Thanks to the voters for their strong support..
Prosper Baru Klang City.
This morning, I and the members of the Dun Bandar Baru team would like to thank the voters at the Teluk Pulai morning market & Jalan Kedah for the solid support they have given.
#MakmurkanBandarBaruKlang
#ArusMerahKuning
#KitaSelangor
",13 comments,75 shares,{'Like': 344}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid028USmSGoXAhznSro1V3k8v9XER8TMpCUJ5ycnAqjNgp5jub6vk4dQKVepB3XSTunhl&id=100080969501613&__cft__[0]=AZUN54bQunXn3oHhF6Eg-Cn7B80J2_roMGl8et0241rW2T8Z42V2EaL7KMUewGvkKPuAfTuyezRhP0T50rIXFBd_EAjKRYEil4PNyTHX19C9xiuWfJeSMP_dTzmohAtDM5dIR-z11HDLvA0O0WV-9ErCVAAgaJatSudcyCM_wWo04xVzXJRfx_PDEZO-ZSflFkw&__tn__=%2CO%2CP-R,2023-08-17 16:12:00,"请勿乱扔药！大家可将过期的药品扔到所设立在巴生的50个药物回收箱或者医院也设有药物回收箱
Dilarang membuang ubat-ubatan yang telah luput di merata-rata tempat! Anda boleh membuang ubat-ubatan yang telah tamat tempoh ke dalam 50 buah peti perlupusan ubat yang telah disediakan di sekitar Klang. Anda juga disarankan untuk membuang ubat-ubatan yang telah luput ke bahagian farmasi atau peti perlupusan ubat di  hospital berdekatan.
https://www.sinchew.com.my/?p=4580386
",12 comments,123 shares,{'Like': 137}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=306810305171634&id=100080969501613&substory_index=306810305171634&__cft__[0]=AZVfmMoHAeVQU2Fekuig4TxWmsFIktkgEX32KXQ-DxV9vRV-jFRNIBJZ0RXk8zuP6s66Kh4ZqwruopbKM6KCc_3z_Qq-01aABOT0m47Ijb2Fn1OmHEZWtsDBM_o5yEVN7Y3ytcOemGprDVZhtoRz_skwl9KJixTlx-Jr674x3pSNXK01q30G3y6ZjbacDTTRlYI&__tn__=%2CO%2CP-R,2023-08-16 13:10:00,,7 comments,15 shares,{'Like': 192}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid02uNn7BHy3zpF4mzu27XnxRCvJgXNyDQoYrVbMRnqqpdvMAkcLByzCbiv6RWUS9rX4l&id=100080969501613&__cft__[0]=AZXv8DvGTFUggwP5g-8w9COHLhekV5VPVH0VIMtlhZ2Z5rj6XF9MYdLgy-FH0hbh3-ulA5LsWWN6vPdyKiz9u6oDgk3T4fL18nr8at5FA_rhAUqbO6KubYCYH_usAD8Cnu144yaDvw04kFlv38ATYLTnk2D6ZM_ssjJzR2yFu977cUMMS0xq5RBVagx9jdSC4bM&__tn__=%2CO%2CP-R,2023-08-15 23:16:00,"Pray for Blessing. While make a quick visit to our comrade Sdr Teh Swee Leong ( ADUN Kota Darul Aman).
",1 comment,48 shares,"{'Like': 88, 'Love': 5}"
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid01EXt2EkF25ZaimvU3E77nu8cYZk9APgPx3NAjamoSWUEEbmm4wrKxDMinhCjVZQol&id=100080969501613&__cft__[0]=AZX9Ua-KK0zvze-OoBJH3VrUyX6S4H0m3sGB7-g6JdjNXrdMOIlUHZHmsV0a3FJ6x9iwmaJXxerD7Pax8qXnmxA7a_oJMkiVAg3A7dfwBHfvCpONl_hoOnioKkPDKJ41kIEaRr_OoPnCZ5WiiP7DKLEO_HpMX5JjKtOUMxCDEtBFA80PKin9Ksqzyl2KmH5bzAC6VNmRNDPZcNu-MgnF8-Kv&__tn__=%2CO%2CP-R,2023-08-14 15:14:00,"Hujan lebat pada tengah hari semalam telah menyebabkan air bertakung & banjir di sekitar persimpangan Jalan Meru Klang. 
Pagi ini, wakil DUN Bandar Baru Klang bersama dengan wakil LRT Shah Alam turun padang & berunding mencari jalan untuk menambah baik sistem perparitan air agar projek LRT tersebut tidak menjejaskan saluran air bawah tanah.
昨天中午的一場傾盆大雨，令巴生中路口一帶出現積水。
今天早上代表巴生新城候任州議員柯鵬飛醫生聯同輕快鉄沙亞南綫負責人一起到該區視察尋策以提升排水系統以及工程不會影響地底下排水道。
",9 comments,1 share,{'Like': 161}
Francis Yan You Ying,https://www.facebook.com/francis.gan.5/posts/pfbid0R1xzE8oZFisJKUfADxV6kj6VEZaYLNv1x2jQNTcfSr4VqSwrKMx1gzkj9CyDxLpAl?__cft__[0]=AZX9Ua-KK0zvze-OoBJH3VrUyX6S4H0m3sGB7-g6JdjNXrdMOIlUHZHmsV0a3FJ6x9iwmaJXxerD7Pax8qXnmxA7a_oJMkiVAg3A7dfwBHfvCpONl_hoOnioKkPDKJ41kIEaRr_OoPnCZ5WiiP7DKLEO_HpMX5JjKtOUMxCDEtBFA80PKin9Ksqzyl2KmH5bzAC6VNmRNDPZcNu-MgnF8-Kv&__tn__=%2CO%2CP-y-R,2023-08-14 13:50:00,"昨天中午的一場傾盆大雨，令巴生中路口一帶出現積水。
今天早上代表巴生新城候任州議員柯鵬飛醫生聯同輕快鉄沙亞南綫負責人一起到該區視察尋策以提升排水系統以及工程不會影響地底下排水道。
",4 comments,13 shares,{'Like': 140}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid0YWx5NbYznuRkuS4XcovkfGqhVmbsXxZJdRKyNP5sH1c2ywtVoRDUjW6jDsTmeTAZl&id=100080969501613&__cft__[0]=AZUKxQGAFbh_MtWndNd6YLRWEsU7UCTFD8m8olJWCEhC7g6bRZtEKDjyMZWVg10yU8RGVqwrxFVeEaIHG9riOPfLBf5CtVe6GlaRKKdIyhewUgXpj2-arQV1gfZ5iyK8Buu_HHIdt1Wda7YVy7AijWT_9fJ8eh9Qbayn5DQakxfB55K6t_WgHDv0Z59BVqGUhsc&__tn__=%2CO%2CP-R,2023-08-13 21:41:00,"Mohon sabar.. saya sedang mengurus sebanyak mungkin tangki air yang boleh masuk ke bandar bukit raja. Terima kasih kpd Team saya & pejabat saya. 
Saya masih mengurus & berusaha serta menghubungi PIC air Selangor utk tindakan lanjutan.
Segala kesulitan saya mohon kesabaran anda.
",10 comments,73 shares,{'Like': 166}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid0k69xexWkiEqNxEk6oYyeHv5PFZh8utzXJ9sohR2G1ZbfKB6kPZ3X6NmGjpXjvkFHl&id=100080969501613&__cft__[0]=AZUEO0bMyXlcvridZtI87wyZ1Fb2awRoxf7g0JXgxxP50HL0Z394dVjXljvT6hREKEZjrhBabtgEanpKzm2Q3yeEW96anOko_vE_0xCeoQcyVNTYyd0ibSFCOtTrFredrlI_OWtDODp6tt8bPfhBn87k_j9n945hz1998d-7a8rmAxuNhpRN_NY2q0Ybch8Jxj8&__tn__=%2CO%2CP-R,2023-08-13 20:58:00,"Work in progress… I am chasing air selangor to supply Pangsapuri Rebana… to update again .
",19 comments,11 shares,{'Like': 199}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid02QYmiSSyWf6Z4biPrQZkaDDGqmTvC8Qt93YEn9Wtp47R15Dn4GajqWCBkKsyBWBygl&id=100080969501613&__cft__[0]=AZUjyK5uvayZzfCDMEsq3mQf5Vvr2pLcjgQSXXHoD7e6eL5yGSemermslghVagImipybTHcC-1XoW3Ay9dgaAP4gdmNcMwsz1xn63uV9soR6AsKOBK9AXLBt_JBn1zTdo9hlBeSPYp4SKjHLXhancNwpLxTfmnnIyNHaGFkKhJPy3TSVAQOZbfp_aLwxHfIfrnuol7BZ_jfviUDr8UIiABOQ&__tn__=%2CO%2CP-R,2023-08-13 18:53:00,"""I will do my best for Bandar Baru Klang""
Terima kasih pengundi Bandar Baru Klang!
Tahniah Dr. Quah!
""I will do my best for Bandar Baru Klang""
Terima kasih pengundi Bandar Baru Klang!
Tahniah Dr. Quah!
",4 comments,1 share,{'Like': 152}
Democratic Action Party,https://www.facebook.com/DAPMalaysia/posts/pfbid02j7Fnk9Q1bc4w29nGHrDKU4j3mZXycrZ2JN1VvtEeCcxfK551EhBSdaFBAjLJ3iKyl?__cft__[0]=AZUjyK5uvayZzfCDMEsq3mQf5Vvr2pLcjgQSXXHoD7e6eL5yGSemermslghVagImipybTHcC-1XoW3Ay9dgaAP4gdmNcMwsz1xn63uV9soR6AsKOBK9AXLBt_JBn1zTdo9hlBeSPYp4SKjHLXhancNwpLxTfmnnIyNHaGFkKhJPy3TSVAQOZbfp_aLwxHfIfrnuol7BZ_jfviUDr8UIiABOQ&__tn__=%2CO%2CP-y-R,2023-08-12 23:42:00,"""I will do my best for Bandar Baru Klang""
Terima kasih pengundi Bandar Baru Klang!
Tahniah Dr. Quah!
",10 comments,6 shares,{'Like': 195}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid0dVGJYQQur7pE6FYwBdZ4PJWqSkVNtStf2KvWnNN7yWaMuohgTRETvRkeSskW8JYZl&id=100080969501613&__cft__[0]=AZW5JilJqRLK0TqMb4o0lp32ssrX0etx9B5vcfWYXmAvsJNoefvrfLd0qRgl6Z1eVS0XFQ-_f8nBFl7UvCeRspJiOJT67mJnvvGJybrGLUBMEphXWXw20jf41TryDxIfTSIH73hI82AAdGbNvxRGEXrIUMJtYcpphAETQJDfAwXsE-Bmx_BiAg8OtZ8tEu4jieI&__tn__=%2CO%2CP-R,2023-08-13 16:57:00,"大家认识我，因为我是一名医生，那就让这份亲切感一直保留下去。
",4 comments,6 shares,{'Like': 107}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid02sqZ5RiMBXAZjTnoWQmMuBRb5mub9PU5WAfi9Waro7TLcFsaKAcqtPQbxH6SxBrLBl&id=100080969501613&__cft__[0]=AZUSEcS7kYn49UUcPM_szYuQSrHtI_r-dlkNrxD5EpY91ElTL-6MfjXUtPXoRgTPOD_r6macbjulMM5cidd3MarXt_dOzOL83Qe59-F0UgLHkDJ1fZl4kByiVQeq89UVlYAGAb0ZrsQx-BPXYTRfGh6MpKObdV3qDPP39F2KTUEWU7x2FJ3KdD_0_TGdJ97IC9sDXVzWAkRt-NsgcFrlcsKz&__tn__=%2CO%2CP-R,2023-08-13 15:38:00,"First respond with Tuan JD JPS Ahmad To monitor The Water level. First meeting with all agency will be held by next week. 
Following Me is Francis Gan.
First respond with Tuan JD JPS Ahmad To monitor The Water level. First meeting with all agency will be held by next week. 
Following Me is Francis Gan.
",4 comments,45 shares,{'Like': 90}
Quah Perng Fei,https://www.facebook.com/quah.perngfei/posts/pfbid0cQMp3fgj78XDfEeS121E6DUteVU5pwR2HNXhkL5o5HufRKk2hiFyMDG5qKEsaVcml?__cft__[0]=AZUSEcS7kYn49UUcPM_szYuQSrHtI_r-dlkNrxD5EpY91ElTL-6MfjXUtPXoRgTPOD_r6macbjulMM5cidd3MarXt_dOzOL83Qe59-F0UgLHkDJ1fZl4kByiVQeq89UVlYAGAb0ZrsQx-BPXYTRfGh6MpKObdV3qDPP39F2KTUEWU7x2FJ3KdD_0_TGdJ97IC9sDXVzWAkRt-NsgcFrlcsKz&__tn__=%2CO%2CP-y-R,2023-08-13 15:18:00,"First respond with Tuan JD JPS Ahmad To monitor The Water level. First meeting with all agency will be held by next week. 
Following Me is Francis Gan.
",21 comments,69 shares,{'Like': 320}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid02UmqdTEbmvFP6hj86ZPG7aJb9cnjV87noMLUfQZ4hhMg1KA9PbV1HHm2FqwN47QxQl&id=100080969501613&__cft__[0]=AZVhyPnPQB_CaHZtJsmLl6MG9Bcl5ik0J5IG7OqlJVTtCZmgxF-5CN0I3JcRvI49rrhQZ2hAZ-4ZTj0n7xdQIfAEA0UuJsDoIuwE4Aa4kIn1K0shSEf3N8fyOKpo2RyMTrl9oIXCdciANLG0JX8-J675DDVlkKSqjGSIqbJYkNPpidW_-JxhbI5dyDtaCrRT5Nc&__tn__=%2CO%2CP-R,2023-08-13 15:07:00,"同心迈进 共建新城！今早率领巴生新城团队向卫星市早市和永安镇早市选民谢票！万分感谢选民的大力支持..
",22 comments,9 shares,{'Like': 339}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid02t7PXw6nW8dj2cR6Ad9br1obZumdwwaXZ2GnU3E3ti5C5XDLrHv7YeeMiTKMoifoFl&id=100080969501613&__cft__[0]=AZWGjWWtY1GY2V44NtuxnYR4PHcAnQRyKUTMHNiimTP4xTtNJBeZ1ABF9seXLVJjd0B0NoBtD-xHSxl5EjNDMffhOd_V-rRD91UYT6XjfhpRl08MpgR_beypv3woOatHRDVFSvWDNtNlS0cIcWaIyy_L42D73Tb9ZB_AIQGYpGaSp2Wk8yvCYU8DmL8refyb7zw&__tn__=%2CO%2CP-R,2023-08-13 13:30:00,"Tahniah,
Pakatan Harapan.
Jutaan terima kasih kepada pengundi Dun Bandar Baru Klang, pucuk kepimpinan, jentera serta penyokong Pakatan Harapan di PRN ke-15.
Saya Dr Quah, Dun Bandar Baru Klang amat menghargai sokongan dan kepercayaan rakyat kepada saya. Saya berikrar akan menjalankan tanggungjawab saya sebaiknya.
#Makmurkan Bandar Baru Klang
#DrQuah
投票日之夜
感谢选民的信任和支持。
感谢党内前辈的协助与鼓励。
感谢尊敬的YB邓章钦的提拔与肯定。
感谢竞选团队、义工，辛苦了！
感谢太太与家人陪伴与关爱。
我将履行职务，做好服务。让我们一同开创更好的巴生新城！
",16 comments,4 shares,{'Like': 204}
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid025JyMm2VFM6U23BuUgiAN2Ht7ip6CepVf9op2yNaRezVpc5zQ5pCkJcFGb6CHTX36l&id=100080969501613&__cft__[0]=AZUJhDiYlrxurJ9ydYfFijQ9D3GuKtBIXU_YsfG8WuoIIWnbP88nYn7BDRF70q6JQSNGaMMPRX6_7VoEQIZ7YBpGDIlXOHlW2jnH841FsVDqAT307tHX0tp0xCrBhBw3phFOV8z-GMI133RlHUXzBF1OA-PILGx_jyfNkPYqJHcx8iIKUpW5cReJfLeUgxrGt_U&__tn__=%2CO%2CP-R,2023-08-11 22:13:00,,N/A,N/A,"{'Like': 2500, 'Haha': 1000}"
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid02x1ZdipqkngAqt4a5F2qFrevb4bA9TsxSsDZG543PN3iodi44XQMmDoCPchmZLq2Wl&id=100080969501613&__cft__[0]=AZUO1qCA8Seb5Ch1bBsbRcMit9M16dB_sR2oaL8oAGK8xOQ3OEPms-s_DzX47X2Funj2HIsqfxxADvTApmmRgrH3s-mC0rVVee65qcH7YgsSn1oE49P7qSzdua8p3SfbKnJCDfP0k74Q3llqeoHFhXnvoIXm9lhf9JO07b7_kyNHACXLO4BfT_nzQE7eht_5jPc&__tn__=%2CO%2CP-R,2023-08-11 21:52:00,,N/A,N/A,"{'Like': 2500, 'Haha': 1000}"
Dr. Quah Perng Fei,https://www.facebook.com/permalink.php?story_fbid=pfbid0288gJapqQyVSPPxbrp48TD16DNFxYHpjv1A4AsBd4Wok8a5uP25jrbqrcQe2mFjRrl&id=100080969501613&__cft__[0]=AZXuZqtT9uWyJriKe2cmyPZXRERkoqIhJXEAnDmeBYLcBxXrqrn29uHXUFs42LMUiA8sm_LnBdSBsGSpunCTBksUHQu7MfPlS9zB5oHrefVnYTidXgnN51avZfTp2g8OXo3jAWVooMQ3e8ZkY1Nu71_L-ir2Rg36ATG9GjfqCUWiNjwEntVmNTykb83TZ-mga2E&__tn__=%2CO%2CP-R,2023-08-11 21:05:00,,N/A,N/A,"{'Like': 2500, 'Haha': 1000}"
